epoch,lr,train_loss,val_loss,val_pr_auc,val_pr_auc_positive,val_roc_auc,val_f1_macro,val_f1_negative_class,val_balanced_accuracy,elapsed_s
1,9.5e-05,0.4490835666656494,0.39163684844970703,0.08573432979048438,0.8997062310082197,0.4650847751459193,0.48133737871568716,0.048302247728359636,0.48555911053013545,1.1884287319999203
2,0.00014000000000000001,0.445147305727005,0.33742356300354004,0.08650507609097233,0.9010490660554129,0.46944147468410646,0.4808871789146506,0.0416602534503104,0.48737809925921366,0.327320786999735
3,0.00018500000000000002,0.43926161527633667,0.30115807056427,0.0946143829753954,0.9050631220718299,0.4962783699747624,0.4941613616367078,0.07608646188850968,0.4955918272984831,0.32643881700005295
4,0.00023000000000000003,0.424977570772171,0.2640188932418823,0.10936336764118948,0.9098641092639761,0.5282664498157703,0.5026816352285404,0.15330307614725164,0.5179348759192923,0.33260877299926506
5,0.000275,0.4305190443992615,0.22638577222824097,0.12486963714245713,0.9143243735190024,0.5583053169025024,0.4774240514832331,0.18894196027283783,0.5442197712619508,0.32994747500015364
6,0.00032,0.3959643542766571,0.18855713307857513,0.13597948003024818,0.9183029003331984,0.5805455625808198,0.44005795639560136,0.19677212185519224,0.553916746113824,0.3303803919998245
7,0.00036500000000000004,0.3995788097381592,0.15837077796459198,0.13778065999349232,0.9209759710640937,0.5931213114988166,0.38900228258420444,0.1983404680201531,0.5567776679746418,0.3320785819996672
8,0.00041000000000000005,0.3878630995750427,0.14261551201343536,0.13209553574055186,0.924009234900398,0.600399853640453,0.3360600795962502,0.19880165618281712,0.5581220607179027,0.3331177469999602
9,0.0004550000000000001,0.38558229804039,0.13861259818077087,0.12887177778558145,0.9260236703602266,0.6015210929409591,0.29957318875353334,0.19630867821786763,0.5524002082319537,0.33012335000057647
10,0.0005000000000000001,0.37461715936660767,0.13879933953285217,0.1252281233764511,0.9245121924219601,0.5945950995137973,0.2942250362431682,0.19419529920426842,0.5472843698070807,0.3285718110000744
11,0.0005000000000000001,0.3567276895046234,0.13795830309391022,0.12652187169113316,0.9215812349981378,0.5908269653403706,0.33362089264541833,0.19540573386727234,0.5505507365196312,0.3285043839996433
12,0.0005000000000000001,0.34698545932769775,0.1406543254852295,0.1322896245910271,0.9203725243567,0.5934333820564421,0.38502842998508535,0.1999096351519259,0.5598948632680829,0.33314448700002686
13,0.0005000000000000001,0.3352848291397095,0.14956824481487274,0.13524567294394257,0.9187759986767191,0.5895845902571184,0.4364811337382503,0.20368078351181187,0.5652875768712935,0.3364851330006786
14,0.0005000000000000001,0.3213867247104645,0.16164076328277588,0.1371974541195597,0.9180188782858534,0.5867719148899991,0.4809288327087594,0.21020495725931548,0.5721114734090531,0.3317053399996439
