bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,1549,0.1322575136612022,0.032957650273224046,0.09929986338797814,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,1577,0.13894273127753304,0.03418502202643172,0.10475770925110132,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,1670,0.13883115803474935,0.03441682600382409,0.10441433203092526,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,1722,0.13502705245824512,0.0314435819022975,0.10358347055594762,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,1754,0.13665757693806,0.030074016361511493,0.1065835605765485,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,1635,0.12451450765364405,0.02810143934201508,0.09641306831162896,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,1609,0.12502913979330174,0.02704172818400808,0.09798741160929365,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,1769,0.13475015234613041,0.03275441803778184,0.10199573430834857,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,1833,0.13938103566268725,0.034978328644209564,0.10440270701847769,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,1812,0.13226277372262774,0.03291970802919708,0.09934306569343065,2017-04-16 11:45:52,2017-04-30 16:58:21
