epoch,lr,train_loss,val_loss,val_pr_auc,val_pr_auc_positive,val_roc_auc,val_f1_macro,val_f1_negative_class,val_balanced_accuracy,elapsed_s
1,3.9200000000000004e-05,0.4188186824321747,0.47388729453086853,0.0885945748179234,0.9002431038774843,0.4688372636175886,0.48836075523113026,0.04174690936199292,0.49913466217465546,1.1238166839993937
2,5.840000000000001e-05,0.4208005368709564,0.4602089822292328,0.08704205774894884,0.8993999684741694,0.46418585667839274,0.48175066473650063,0.022779043280182234,0.49859322182204746,0.26442377799958194
3,7.760000000000002e-05,0.4159452021121979,0.44291195273399353,0.0875874110652993,0.8992833675665148,0.46419059887310177,0.48323281208244445,0.026597910164201384,0.4988703820158577,0.2604882349996842
4,9.680000000000002e-05,0.4002024233341217,0.42113208770751953,0.08916519034629225,0.8995223229886806,0.4667437723851039,0.489191020804669,0.04082159927657925,0.5009401370335742,0.26250046899986046
5,0.00011600000000000003,0.4024917781352997,0.39519861340522766,0.09079584503338291,0.9000853768432928,0.4706765585597323,0.49564836826713765,0.059027573637486036,0.5025111244396141,0.2639143129999866
6,0.0001352,0.3932282626628876,0.3655928671360016,0.0928984772353087,0.9009033885099614,0.4760582424497811,0.5012218642973088,0.07885378549708807,0.5037038724745168,0.2707388319995516
7,0.0001544,0.39266088604927063,0.33254489302635193,0.0952896546637793,0.9017721395408121,0.482823816688554,0.5038689301071685,0.0965279922354083,0.5040168187623398,0.26731963400015957
8,0.00017360000000000002,0.37341174483299255,0.2972128987312317,0.09804835006585327,0.9027823625822107,0.4910315548454548,0.5071711314491284,0.11616798502044404,0.5075944009860978,0.275148791999527
9,0.00019280000000000002,0.3618762791156769,0.2626346945762634,0.10125179572292017,0.9043404490301152,0.5007596293376653,0.5089957210166914,0.13502053796210414,0.5129926715145936,0.2694359799997983
10,0.00021200000000000006,0.36229178309440613,0.23093685507774353,0.10502872048045275,0.9061344787426893,0.5121225427649573,0.5085299161386118,0.15178571428571427,0.519651921660312,0.27150325100046757
11,0.00023120000000000006,0.35832566022872925,0.2047286331653595,0.10938007624650178,0.90819330403575,0.5248345245214373,0.5041756312308917,0.16460389838152026,0.5257651207234147,0.26969223200012493
12,0.00025040000000000007,0.3551841080188751,0.18509165942668915,0.1138366023891893,0.9101034253696678,0.5369066886105256,0.49678712228897914,0.17647442163571195,0.5334574040158739,0.27927293500033556
