epoch,lr,train_loss,val_loss,val_pr_auc,val_pr_auc_positive,val_roc_auc,val_f1_macro,val_f1_negative_class,val_balanced_accuracy,elapsed_s
1,0.001,0.4469136595726013,0.25168320536613464,0.09685909891168895,0.8980432675408367,0.5007336554183928,0.22235784700478473,0.16985030142924878,0.48280843356562675,0.6531474920011533
2,0.001,0.41317030787467957,0.25635847449302673,0.10477272750971972,0.9234582846541133,0.5540727168872899,0.09808600925263493,0.18024067789251264,0.5024553132917104,0.18823477199839544
3,0.001,0.390272855758667,0.2108398973941803,0.10430296693923073,0.922326332007942,0.5514897064972293,0.11540955154836373,0.1815149756466673,0.5070898457724065,0.18552487199849566
4,0.001,0.36158832907676697,0.15035778284072876,0.10302746050324584,0.9180298110092975,0.543096062177921,0.1922040760569118,0.18591549295774648,0.5230238972979411,0.1956375819972891
5,0.001,0.3155422508716583,0.15130534768104553,0.11288786751917826,0.913759832360248,0.55655452049162,0.3578241214600871,0.1885339938027384,0.5366172909811634,0.18957296600274276
6,0.001,0.30202215909957886,0.15884530544281006,0.1193301699467883,0.9147347429406585,0.5640171622953803,0.4656571542216772,0.19588270000478386,0.5527778814284436,0.1862309610005468
7,0.001,0.2760794460773468,0.1512717604637146,0.12068460912134174,0.9156806676687863,0.5686191900410106,0.451125231465608,0.1981694369187962,0.5560723384666728,0.19240715700289002
8,0.001,0.2628959119319916,0.1392773538827896,0.11521653310417532,0.9151724007775127,0.5627922586956589,0.31010453783972325,0.1876613839907081,0.5324820137585431,0.18819096299921512
9,0.001,0.24837100505828857,0.15081046521663666,0.1085533474881787,0.9202811578164094,0.5579277495789187,0.18188569183267034,0.1845340216895157,0.5187747211614577,0.18730864499957534
10,0.001,0.23284399509429932,0.15883097052574158,0.10908724548100421,0.9221297764502174,0.5625807863298395,0.15703387883950992,0.1838091812762571,0.5156498602489207,0.18312754400176345
11,0.001,0.21910296380519867,0.14863306283950806,0.11340834675722984,0.9236363601643135,0.5751145296464432,0.1942243092773613,0.18611921966470465,0.5236636220636105,0.1821451200012234
12,0.001,0.21358929574489594,0.13617156445980072,0.12372123488858122,0.9231750765733768,0.5913551004134786,0.32741206346909846,0.19462671296888373,0.5487401902783909,0.18416028399951756
13,0.001,0.2014121562242508,0.14113695919513702,0.1303163502306442,0.9195476377118713,0.5863015170103134,0.4042925390683665,0.19819645810447023,0.5564111570077327,0.1934304649985279
14,0.001,0.19238001108169556,0.14544086158275604,0.12865470612076962,0.9189351105819246,0.5834358059780665,0.40989168804171794,0.19887913870658505,0.5576142500876321,0.19946723400062183
15,0.001,0.18754081428050995,0.14395347237586975,0.13074523603537988,0.9200407359742738,0.5891202141619023,0.38814177144357415,0.19882011295817803,0.5577169411974847,0.19222931500189588
16,0.001,0.1778590828180313,0.13899435102939606,0.13405622724831187,0.9219996710349461,0.5978811918912917,0.3498527253964576,0.19840869556266919,0.5571619557737614,0.18986300799952005
17,0.001,0.1712413877248764,0.1349814385175705,0.13421441250732213,0.9249061801039418,0.6082612864291921,0.3025959820600464,0.19528399600623325,0.5499797600802013,0.1896802250012115
18,0.001,0.16778793931007385,0.1339433789253235,0.13125645216041887,0.926985183037661,0.6116459832924743,0.2506085899368394,0.19068378415488124,0.5376651295072902,0.1896424560000014
