bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,2026,0.17298497267759563,0.024419398907103824,0.14856557377049182,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,1996,0.1758590308370044,0.02590308370044053,0.14995594713656388,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,2181,0.18131182974478344,0.02676864244741874,0.15454318729736471,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2219,0.1739982749157061,0.0254841997961264,0.1485140751195797,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,2272,0.17701597195169458,0.023763147643163226,0.15325282430853135,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,2150,0.16373467367298758,0.022999009976391746,0.14073566369659585,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,2069,0.16077395291009403,0.01934882275235061,0.1414251301577434,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,2222,0.16925655088360755,0.02673674588665448,0.14251980499695308,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2315,0.1760322408942286,0.026157706638278457,0.14987453425595013,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,2277,0.16620437956204379,0.025985401459854014,0.14021897810218978,2017-04-16 11:45:52,2017-04-30 16:58:21
