bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,2310,0.1628251215901882,0.03573694227109325,0.12708817931909494,1.0,2.0,1.0
1,13068,3204,0.24517906336088155,0.03833792470156107,0.20684113865932047,3.0,6.0,4.0
2,11670,3247,0.27823479005998286,0.038646101113967435,0.23958868894601543,7.0,12.0,9.0
3,12133,3500,0.28846946344679797,0.0471441523118767,0.24132531113492128,13.0,23.0,17.0
4,12825,3843,0.29964912280701755,0.046471734892787525,0.25317738791423,24.0,43.0,32.0
5,12177,4004,0.3288166214995483,0.06200213517286688,0.2668144863266814,44.0,74.0,59.0
6,12848,3695,0.287593399750934,0.04685554171855542,0.24073785803237857,75.0,135.0,104.0
7,12591,4215,0.334762925899452,0.06719085060757685,0.26757207529187516,136.0,277.0,180.0
8,13096,7012,0.5354306658521686,0.07147220525351253,0.4639584605986561,280.0,925.0,577.0
9,12063,6877,0.5700903589488518,0.11290723700571997,0.4571831219431319,981.0,2483.0,2031.0
