bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,2823,0.1989849862550222,0.03467963628674138,0.16430534996828083,1.0,2.0,1.0
1,13068,4188,0.3204775022956841,0.03657790021426385,0.2838996020814203,3.0,6.0,4.0
2,11670,4249,0.36409597257926307,0.031790916880891175,0.3323050556983719,7.0,12.0,9.0
3,12133,4593,0.378554355888898,0.04030330503585263,0.3382510508530454,13.0,23.0,17.0
4,12825,5160,0.4023391812865497,0.0394541910331384,0.3628849902534113,24.0,43.0,32.0
5,12177,5338,0.43836741397717005,0.052229613205222965,0.3861378007719471,44.0,74.0,59.0
6,12848,5671,0.4413916562889166,0.03930572851805728,0.4020859277708593,75.0,135.0,104.0
7,12591,5538,0.4398379795091732,0.0440791041219919,0.3957588753871813,136.0,277.0,180.0
8,13096,8307,0.6343158216249236,0.04741905925473427,0.5868967623701894,280.0,925.0,577.0
9,12063,7980,0.6615269833374783,0.06515792091519522,0.596369062422283,981.0,2483.0,2031.0
