bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1407,0.09917530133220553,0.01853809825896948,0.08063720307323606,1.0,2.0,1.0
1,13068,1555,0.1189929599020508,0.02441077441077441,0.0945821854912764,3.0,6.0,4.0
2,11670,1438,0.12322193658954585,0.02236503856041131,0.10085689802913453,7.0,12.0,9.0
3,12133,1730,0.1425863347894173,0.024313854776230118,0.11827248001318717,13.0,23.0,17.0
4,12825,1950,0.15204678362573099,0.02284600389863548,0.1292007797270955,24.0,43.0,32.0
5,12177,2357,0.19356163258602282,0.02537570830253757,0.16818592428348525,44.0,74.0,59.0
6,12848,2241,0.17442403486924035,0.019925280199252802,0.15449875466998755,75.0,135.0,104.0
7,12591,2679,0.21277102692399333,0.022317528393296798,0.19045349853069654,136.0,277.0,180.0
8,13096,4011,0.3062767257177764,0.0217623701893708,0.2845143555284056,280.0,925.0,577.0
9,12063,3881,0.321727596783553,0.014755865041863549,0.30697173174168946,981.0,2483.0,2031.0
