bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1833,0.12920279128779869,0.027701416790019032,0.10150137449777966,1.0,2.0,1.0
1,13068,2065,0.15801958983777165,0.03305785123966942,0.12496173859810224,3.0,6.0,4.0
2,11670,2004,0.17172236503856042,0.032047986289631535,0.13967437874892888,7.0,12.0,9.0
3,12133,2631,0.216846616665293,0.03511085469381027,0.18173576197148272,13.0,23.0,17.0
4,12825,2971,0.2316569200779727,0.03181286549707602,0.19984405458089669,24.0,43.0,32.0
5,12177,3239,0.265993265993266,0.0450849963045085,0.22090826968875749,44.0,74.0,59.0
6,12848,3150,0.24517434620174347,0.031211083437110834,0.21396326276463262,75.0,135.0,104.0
7,12591,3607,0.2864744658883329,0.036454610436025735,0.2500198554523072,136.0,277.0,180.0
8,13096,5760,0.4398289554062309,0.04650274893097129,0.3933262064752596,280.0,925.0,577.0
9,12063,5747,0.47641548536848216,0.04832960291801376,0.42808588245046836,981.0,2483.0,2031.0
