bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,2262,0.1594417424402622,0.01811517586522873,0.14132656657503348,1.0,2.0,1.0
1,13068,2550,0.19513314967860423,0.021885521885521887,0.17324762779308234,3.0,6.0,4.0
2,11670,2321,0.19888603256212511,0.02047986289631534,0.17840616966580977,7.0,12.0,9.0
3,12133,2653,0.21865985329267287,0.02423143492953103,0.19442841836314184,13.0,23.0,17.0
4,12825,3067,0.23914230019493177,0.025886939571150097,0.21325536062378167,24.0,43.0,32.0
5,12177,3284,0.2696887574936355,0.029481809969614848,0.2402069475240207,44.0,74.0,59.0
6,12848,4080,0.3175591531755915,0.024050435865504358,0.29350871731008715,75.0,135.0,104.0
7,12591,3717,0.2952108649035025,0.026368040663966325,0.26884282423953615,136.0,277.0,180.0
8,13096,3340,0.2550397067806964,0.030696395846059866,0.22434331093463653,280.0,925.0,577.0
9,12063,3387,0.28077592638647103,0.0460084556080577,0.23476747077841334,981.0,2483.0,2031.0
