epoch,lr,train_loss,val_loss,val_pr_auc,val_pr_auc_positive,val_roc_auc,val_f1_macro,val_f1_negative_class,val_balanced_accuracy,elapsed_s
1,0.005,0.4887613356113434,0.9313926696777344,0.10260770162847244,0.9222332439968446,0.5466110114627761,0.08978145728679329,0.17956291457358659,0.5,0.8075950989987177
2,0.005,0.8292125463485718,0.5421186089515686,0.10155078537193661,0.9164950961844158,0.5351604531483506,0.35246469840680406,0.19323428715017119,0.5461485603613611,0.18897266800195212
3,0.005,0.5578537583351135,0.17694708704948425,0.08793481803267134,0.9010046791815132,0.4600628091787286,0.49274471121510566,0.06586945690084703,0.49616479078305314,0.1913000499989721
4,0.005,0.2790728509426117,0.41894465684890747,0.08657077933449805,0.9030487133252338,0.475893577126823,0.4740614320298647,0.0,0.5,0.1880139050008438
5,0.005,0.3251381814479828,0.30222901701927185,0.08923946394874968,0.9041391142779656,0.48658121703204027,0.4740614320298647,0.0,0.5,0.1888363779980864
6,0.005,0.28035253286361694,0.15021122992038727,0.09724997649810194,0.9057188459278951,0.5026115343739679,0.4885811571066881,0.040294211704509114,0.500225640404333,0.19037912800195045
7,0.005,0.1988246738910675,0.1729171723127365,0.0998706935110237,0.9083118447779427,0.5126074890543594,0.4819483266859159,0.14454557804646107,0.5030132280995536,0.1958560569983092
8,0.005,0.17613151669502258,0.15366676449775696,0.10150562438167743,0.9106214374751458,0.5170036753302609,0.49934050576527333,0.11198716159642758,0.5004412225320046,0.19513782300055027
9,0.005,0.16571509838104248,0.1427484005689621,0.10241845822274662,0.9118892821193199,0.5201768707302031,0.4807075225116629,0.01819625965773702,0.49965578965331975,0.19772760400155676
10,0.005,0.15597791969776154,0.13639147579669952,0.10308887045401027,0.9106378920775658,0.5213430211772898,0.5008326767414732,0.10931722496796632,0.5013764045733397,0.1902724430001399
11,0.005,0.1492704302072525,0.13916946947574615,0.10564201104505308,0.9191372940942582,0.5499701831396333,0.47825295465572804,0.1576522148723095,0.5117628641062234,0.19484816099793534
12,0.005,0.14343732595443726,0.13836124539375305,0.10851077933519461,0.9196412122837582,0.55514072174804,0.5004983974253502,0.15912208504801098,0.5207541935842717,0.1916975240019383
13,0.005,0.1397734135389328,0.1360359489917755,0.12605845379326402,0.9219542361668238,0.575192701011907,0.5189821334550689,0.10710754696253982,0.5182708208172657,0.20240390799881425
14,0.005,0.1364724040031433,0.13541314005851746,0.1371631878478382,0.9219784029863843,0.584259045650868,0.5064013240049053,0.07153284671532846,0.512646246250624,0.18929612300053122
15,0.005,0.13615436851978302,0.13455039262771606,0.14365363519691288,0.9260773900937911,0.6035026673967054,0.4891326644843495,0.03373809350687123,0.5047828653302965,0.18754310199801694
16,0.005,0.13459976017475128,0.13384178280830383,0.15245271029676155,0.9317536367763432,0.6233175144884741,0.49501635523096627,0.04663285432516202,0.5072384664420598,0.18928160900031799
17,0.005,0.13337549567222595,0.13345657289028168,0.14792166754582087,0.9332498869390906,0.6269765035116406,0.5179478581575071,0.09906001446131597,0.5185286185392802,0.19021231599981547
18,0.005,0.13252399861812592,0.13328824937343597,0.1374098506763901,0.9326891247601569,0.6203735570682404,0.5152692635705673,0.10242759795570698,0.515162125154986,0.19016276900219964
19,0.005,0.13222745060920715,0.13296936452388763,0.13991982354749655,0.933333041232775,0.6230689242035735,0.5279272253372574,0.13083461748769698,0.5250423302490913,0.19257981100236066
20,0.005,0.13165809214115143,0.1326015293598175,0.1504475846001187,0.9347262462096131,0.6315477741263023,0.5440476099464271,0.16191172884662278,0.5386173332475908,0.1885241230011161
21,0.005,0.13156679272651672,0.13223446905612946,0.16159382338032502,0.9363527238026093,0.6411262628226647,0.5530561610989447,0.17940199335548174,0.546474721130397,0.18925386099726893
22,0.005,0.13101591169834137,0.1320352554321289,0.16400383260597745,0.9366225231545585,0.6411978760276774,0.5521070689477916,0.173217854763491,0.5442940617894291,0.1982787350025319
23,0.005,0.13049286603927612,0.13175803422927856,0.16473126678536149,0.9371452086475407,0.6436663347378109,0.5568298325061569,0.18716679360243715,0.5500013900551668,0.19994366000173613
24,0.005,0.1300586760044098,0.13137571513652802,0.1684478743254301,0.9383176104901281,0.650820978585109,0.5609024311637996,0.2009808214379543,0.5565948300230789,0.19970346400077688
25,0.005,0.12940941751003265,0.13095921277999878,0.17283926143124304,0.939628040106081,0.6583593118042059,0.5701633221464009,0.2253532370080626,0.5703337256826648,0.20054551499924855
26,0.005,0.12890951335430145,0.13025066256523132,0.1759883493205951,0.9414447749899243,0.6670231311595232,0.5736173938499104,0.2568198574588351,0.5977483851982135,0.19260548900274443
27,0.005,0.12827277183532715,0.12932582199573517,0.17875133907324797,0.9433528265240639,0.6753080191135149,0.5660136790928614,0.27113968324342963,0.6212933181248143,0.19209588900048402
28,0.005,0.12736059725284576,0.1285480409860611,0.18081419772024468,0.9444725243027019,0.6796987396129907,0.5604260438433109,0.277571086898751,0.6352138268355185,0.1855910509984824
29,0.005,0.12621337175369263,0.127931147813797,0.1783877935158368,0.9454141594805204,0.6815042908967224,0.5288801877830467,0.2655640282103605,0.6394140455171982,0.1863504639986786
30,0.005,0.1256217360496521,0.12741681933403015,0.18379024918821005,0.9463511097362851,0.6859669394153493,0.5442666282870173,0.27364615324806596,0.6419439297944166,0.19143393699778244
