bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,8039,0.5666455205469796,0.018397124127722563,0.548248396419257,1.0,2.0,1.0
1,13068,7423,0.5680287725742271,0.01997245179063361,0.5480563207835936,3.0,6.0,4.0
2,11670,6983,0.5983718937446444,0.021765209940017138,0.5766066838046272,7.0,12.0,9.0
3,12133,7675,0.6325723234154784,0.025302892936619137,0.6072694304788593,13.0,23.0,17.0
4,12825,8340,0.6502923976608187,0.029161793372319687,0.621130604288499,24.0,43.0,32.0
5,12177,7802,0.6407161041307383,0.03383427773671676,0.6068818263940216,44.0,74.0,59.0
6,12848,8634,0.672011207970112,0.026229763387297635,0.6457814445828145,75.0,135.0,104.0
7,12591,8251,0.6553093479469463,0.03613692319911047,0.6191724247478357,136.0,277.0,180.0
8,13096,8604,0.6569945021380574,0.04734270006108735,0.6096518020769701,280.0,925.0,577.0
9,12063,7834,0.6494238580784216,0.040205587333167536,0.609218270745254,981.0,2483.0,2031.0
