bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,10486,0.7391273701275816,0.011559878762247127,0.7275674913653345,1.0,2.0,1.0
1,13068,9340,0.7147229874502602,0.01584022038567493,0.6988827670645853,3.0,6.0,4.0
2,11670,8384,0.7184233076263925,0.012339331619537276,0.7060839760068551,7.0,12.0,9.0
3,12133,8494,0.7000741778620292,0.016813648726613367,0.6832605291354158,13.0,23.0,17.0
4,12825,8987,0.7007407407407408,0.01621832358674464,0.6845224171539961,24.0,43.0,32.0
5,12177,8410,0.6906463004023979,0.021269606635460295,0.6693766937669376,44.0,74.0,59.0
6,12848,9403,0.7318648816936488,0.013231631382316315,0.7186332503113325,75.0,135.0,104.0
7,12591,9423,0.7483917083631165,0.0228734810578985,0.725518227305218,136.0,277.0,180.0
8,13096,10449,0.7978772144166157,0.00855222968845449,0.7893249847281613,280.0,925.0,577.0
9,12063,8834,0.7323219762911382,0.01765729917930863,0.7146646771118296,981.0,2483.0,2031.0
