bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1485,0.10467329245083527,0.01628251215901882,0.08839078029181645,1.0,2.0,1.0
1,13068,1529,0.117003367003367,0.021273339455157636,0.09573002754820936,3.0,6.0,4.0
2,11670,1409,0.1207369323050557,0.01979434447300771,0.10094258783204799,7.0,12.0,9.0
3,12133,1611,0.13277837303222617,0.023819335696035605,0.10895903733619056,13.0,23.0,17.0
4,12825,1961,0.1529044834307992,0.023937621832358674,0.12896686159844054,24.0,43.0,32.0
5,12177,2106,0.1729490022172949,0.029153321836248667,0.14379568038104623,44.0,74.0,59.0
6,12848,1968,0.15317559153175592,0.020236612702366128,0.1329389788293898,75.0,135.0,104.0
7,12591,2491,0.19783972678897627,0.032960050829957906,0.16487967595901834,136.0,277.0,180.0
8,13096,3317,0.25328344532681735,0.024205864386072085,0.22907758094074526,280.0,925.0,577.0
9,12063,3330,0.2760507336483462,0.036392273895382576,0.2396584597529636,981.0,2483.0,2031.0
