bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1587,0.111862973144428,0.01670543455275957,0.09515753859166842,1.0,2.0,1.0
1,13068,1705,0.13047138047138046,0.021885521885521887,0.10858585858585859,3.0,6.0,4.0
2,11670,1571,0.13461868037703514,0.01970865467009426,0.11491002570694088,7.0,12.0,9.0
3,12133,1852,0.15264155608670568,0.02357207615593835,0.12906947993076734,13.0,23.0,17.0
4,12825,2132,0.16623781676413255,0.02526315789473684,0.14097465886939572,24.0,43.0,32.0
5,12177,2237,0.18370698858503737,0.027839369302783936,0.15586761928225343,44.0,74.0,59.0
6,12848,1879,0.14624844333748444,0.022182440846824407,0.12406600249066002,75.0,135.0,104.0
7,12591,2284,0.1813994122786117,0.02851242951314431,0.1528869827654674,136.0,277.0,180.0
8,13096,3081,0.2352626756261454,0.027107513744654855,0.20815516188149052,280.0,925.0,577.0
9,12063,3071,0.2545801210312526,0.038133134377849626,0.21644698665340298,981.0,2483.0,2031.0
