bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,1864,0.15915300546448088,0.0235655737704918,0.13558743169398907,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,1919,0.16907488986784142,0.024845814977973568,0.14422907488986783,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,1946,0.1617757087039654,0.026352980297614098,0.1354227284063513,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2012,0.15776679996863482,0.022504508743040854,0.13526229122559397,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,1979,0.15418776782236074,0.02197117257499026,0.13221659524737048,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,1923,0.14644733835960705,0.022922854314218262,0.12352448404538878,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,1786,0.13878312223171962,0.01934882275235061,0.11943429947936902,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,1974,0.1503656307129799,0.023994515539305303,0.12637111517367458,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2054,0.1561858413808836,0.02509314880997643,0.13109269257090717,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,2007,0.1464963503649635,0.025693430656934305,0.1208029197080292,2017-04-16 11:45:52,2017-04-30 16:58:21
