,baseline_logreg,baseline_mlp,gat,gcn,sage,signed_gcn
baseline_logreg,1.0,0.4168784300782902,0.13173516860975687,0.11674436026077817,0.16872030423516404,0.1627947103106253
baseline_mlp,0.4168784300782902,1.0,0.31719484279876375,0.08539393566452913,0.10362191280674171,0.10825071637668993
gat,0.13173516860975687,0.31719484279876375,1.0,0.06394610005115875,0.08847185327263585,0.08794133482870459
gcn,0.11674436026077817,0.08539393566452913,0.06394610005115875,1.0,0.644233000996012,0.7054107670420828
sage,0.16872030423516404,0.10362191280674171,0.08847185327263585,0.644233000996012,1.0,0.7960459843153809
signed_gcn,0.1627947103106253,0.10825071637668993,0.08794133482870459,0.7054107670420828,0.7960459843153809,1.0
