bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1655,0.11665609360682315,0.03707619651793896,0.07957989708888419,1.0,2.0,1.0
1,13068,3089,0.23637894092439546,0.03872053872053872,0.19765840220385675,3.0,6.0,4.0
2,11670,3682,0.315509854327335,0.03453299057412168,0.28097686375321335,7.0,12.0,9.0
3,12133,4195,0.3457512569026622,0.04088024396274623,0.3048710129399159,13.0,23.0,17.0
4,12825,4816,0.37551656920077975,0.03594541910331384,0.3395711500974659,24.0,43.0,32.0
5,12177,4747,0.38983329227231667,0.0477950234047795,0.3420382688675372,44.0,74.0,59.0
6,12848,4951,0.38535180572851807,0.03595890410958904,0.349392901618929,75.0,135.0,104.0
7,12591,5203,0.41323167341752043,0.03716940671908506,0.3760622666984354,136.0,277.0,180.0
8,13096,6918,0.5282529016493586,0.03917226634086744,0.48908063530849116,280.0,925.0,577.0
9,12063,7228,0.5991875984415154,0.03979109674210395,0.5593965016994115,981.0,2483.0,2031.0
