bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1644,0.11588073588496511,0.03362233030238951,0.08225840558257559,1.0,2.0,1.0
1,13068,2245,0.17179369452096724,0.039103152739516374,0.13269054178145087,3.0,6.0,4.0
2,11670,2498,0.21405312767780635,0.03521850899742931,0.17883461868037703,7.0,12.0,9.0
3,12133,3064,0.2525344102859969,0.04055056457594989,0.21198384571004697,13.0,23.0,17.0
4,12825,3782,0.2948927875243665,0.035789473684210524,0.25910331384015595,24.0,43.0,32.0
5,12177,3813,0.31313131313131315,0.04853412170485341,0.2645971914264597,44.0,74.0,59.0
6,12848,3338,0.2598069738480697,0.03665940224159402,0.22314757160647572,75.0,135.0,104.0
7,12591,4084,0.3243586688904773,0.04082280994361052,0.28353585894686684,136.0,277.0,180.0
8,13096,6264,0.47831398900427613,0.048106291997556505,0.4302076970067196,280.0,925.0,577.0
9,12063,6600,0.5471275802039294,0.04493078007129238,0.502196800132637,981.0,2483.0,2031.0
