bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,2506,0.17664058645238598,0.015013744977796574,0.16162684147458942,1.0,2.0,1.0
1,13068,2768,0.21181512090603,0.018059381695745332,0.19375573921028466,3.0,6.0,4.0
2,11670,2551,0.21859468723221936,0.015852613538988862,0.2027420736932305,7.0,12.0,9.0
3,12133,2925,0.24107805159482404,0.015000412099233496,0.22607763949559054,13.0,23.0,17.0
4,12825,3206,0.24998050682261208,0.014035087719298246,0.23594541910331385,24.0,43.0,32.0
5,12177,3391,0.2784758150611809,0.016999260901699925,0.261476554159481,44.0,74.0,59.0
6,12848,3540,0.27552926525529264,0.01548879202988792,0.26004047322540474,75.0,135.0,104.0
7,12591,3919,0.31125407036772296,0.016837423556508618,0.2944166468112144,136.0,277.0,180.0
8,13096,3835,0.29283750763591937,0.02160965180207697,0.2712278558338424,280.0,925.0,577.0
9,12063,3586,0.2972726519108016,0.0150045593965017,0.2822680925142999,981.0,2483.0,2031.0
