bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,3781,0.32283128415300544,0.048582650273224046,0.27424863387978143,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,3514,0.3096035242290749,0.04828193832599119,0.2613215859030837,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,3848,0.31989359048965,0.04879873638706459,0.27109485410258544,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,4036,0.3164745550066651,0.04728299223712068,0.2691915627695444,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,3845,0.2995714842228282,0.04799376704324114,0.25157771717958705,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,3736,0.284517553880131,0.04561724164191608,0.23890031223821492,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,3835,0.2980029528323879,0.043593130779392336,0.25440982205299556,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,4021,0.3062918951858623,0.0511121267519805,0.2551797684338818,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,3885,0.2954147973538134,0.053379971104858946,0.24203482624895445,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,4036,0.2945985401459854,0.05474452554744526,0.23985401459854014,2017-04-16 11:45:52,2017-04-30 16:58:21
