bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,2283,0.19492827868852458,0.02296789617486339,0.1719603825136612,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,2241,0.19744493392070483,0.021938325991189427,0.17550660792951542,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,2293,0.19062266190040736,0.02377587496882534,0.166846786931582,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2337,0.18325099976476122,0.019603230612404925,0.16364776915235632,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,2361,0.1839501363459291,0.019322165952473706,0.1646279703934554,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,2317,0.17645266925595918,0.020638184449013785,0.1558144848069454,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,2183,0.1696324500738208,0.018571761597637734,0.15106068847618306,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,2424,0.1846435100548446,0.022775746496039,0.1618677635588056,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2385,0.18135503003573872,0.023800471447038247,0.1575545585887005,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,2425,0.177007299270073,0.023065693430656935,0.15394160583941605,2017-04-16 11:45:52,2017-04-30 16:58:21
