model,hp_summary,n_seeds,n_params,test_pr_auc_neg,test_pr_auc_neg_std,test_pr_auc_lift,test_pr_auc_lift_std,test_roc_auc,test_roc_auc_std,test_balanced_accuracy,test_balanced_accuracy_std,test_mcc,test_mcc_std,test_f1_macro,test_f1_macro_std,test_f1_negative_class,test_f1_negative_class_std,test_precision_negative,test_precision_negative_std,test_recall_negative,test_recall_negative_std,test_accuracy,test_accuracy_std,val_pr_auc_neg,val_pr_auc_neg_std,val_f1_macro,val_f1_macro_std,class_prior_negative
sage,"h=64,L=2,aggr=mean,lr=0.005,wd=0.0005",3,101313,0.509428407905632,0.016212439893071983,5.408934804972048,0.17213808466566471,0.8889951927237858,0.008989688491379537,0.8078025822356762,0.009188207271640008,0.43276039014737216,0.017639634427333857,0.6818094227780614,0.01167586996198235,0.4645065106469457,0.01650841141311784,0.33095458223462043,0.016160336924299475,0.7801436275742589,0.015111202815709046,0.8302515435266624,0.010790674756397587,0.5113427398955707,0.016758212043153316,0.682067193462693,0.009570903272193815,0.09418275987304396
signed_gcn,"h=64,L=2,lr=0.005,wd=1e-05",3,72516,0.47635340373270774,0.010250529103516348,5.057755839548771,0.10883657600747533,0.8625008825092714,0.005487121519366602,0.7796756770277226,0.007341693532980433,0.382494346922256,0.022292292636055325,0.6488882693385402,0.027954581242691248,0.4192776540024243,0.02897500848335519,0.292850884981609,0.033184907123190964,0.7547712856623914,0.05233820928811882,0.7998889397695631,0.03843426776459139,0.47296492126102924,0.008298192748401495,0.6628796252647501,0.0224388344154686,0.09418275987304396
gcn,"h=64,L=2,lr=0.005,wd=0.0005",3,66241,0.4657143205626193,0.030771964921712552,4.944793730725144,0.3267260904563893,0.8605726542622741,0.013228247694184507,0.76888668914092,0.02048445056769513,0.3693879305612288,0.04580995126707113,0.644436137583932,0.034523870529600896,0.41104499449911797,0.04422859661028707,0.2880102203150905,0.04515066538110804,0.7328359460139158,0.028004849775747565,0.7981467153015732,0.03710753912259224,0.46517330141760693,0.019373096201510003,0.650838308818686,0.025809631827344644,0.09418275987304396
gat_v1,"h=128,L=2,heads=1,lr=0.0005,wd=0.0005",3,114497,0.17738395778911353,0.02144118028320563,1.8834015697588684,0.22765504336576894,0.6596264446225858,0.028871503947345823,0.615945626795643,0.02967347969657091,0.14370547091741123,0.04030338256234687,0.4910935934461858,0.06021408460687194,0.23921498409867917,0.02833528312545329,0.15092217609158146,0.024520950313528522,0.6073993349540335,0.06296954395254782,0.6228820919326059,0.10286055676270564,0.17542510665283995,0.022864101592863416,0.48595698303169876,0.05765437147014645,0.09418275987304396
gat,"h=128,L=2,heads=1,lr=0.0005,wd=0.0005",3,193089,0.15442856052580847,0.00426427460108587,1.6396690937277096,0.0452765942178166,0.6410514533613618,0.006966928154759275,0.5993219960198307,0.01478376422765419,0.1178120632874093,0.017890035546489505,0.4412041277099285,0.041458960144960665,0.21732236069147984,0.012419377777187197,0.13005934688844498,0.011285257486338933,0.6788219185737838,0.06336337382412865,0.5347971176975267,0.07337247953411084,0.14993443056350245,0.0012105951957507408,0.44339811583242666,0.044825620158589916,0.09418275987304396
baseline_mlp,"lr=0.001,wd=0.0001,h=256",3,585729,0.11599067302592074,0.0019917451321274497,1.2315488862534216,0.021147661576410338,0.5660839811284998,0.014475599647668409,0.5587662920537334,0.006567457149991985,0.07172819528463724,0.007305913992978337,0.46970121143244237,0.028704700124185238,0.19304146980731973,0.005060564222674662,0.12142300080325914,0.004885520135932405,0.48621007628468443,0.08681515734310052,0.6176554185286363,0.0650227600051279,0.11995977492708376,0.0018441900828749134,0.461503113928134,0.0264990833323245,0.09418275987304396
