bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1913,0.13484175653767533,0.016493973355889195,0.11834778318178614,1.0,2.0,1.0
1,13068,2193,0.16781450872359963,0.02004897459442914,0.14776553412917048,3.0,6.0,4.0
2,11670,2094,0.1794344473007712,0.018508997429305913,0.1609254498714653,7.0,12.0,9.0
3,12133,2563,0.2112420670897552,0.018544465507294158,0.19269760158246105,13.0,23.0,17.0
4,12825,2804,0.21863547758284602,0.017387914230019494,0.2012475633528265,24.0,43.0,32.0
5,12177,3151,0.25876652705921,0.02077687443541102,0.23798965262379895,44.0,74.0,59.0
6,12848,3341,0.26004047322540474,0.016811955168119553,0.24322851805728518,75.0,135.0,104.0
7,12591,3735,0.29664045746962114,0.019776030497974745,0.2768644269716464,136.0,277.0,180.0
8,13096,4311,0.32918448381185095,0.016875381795968234,0.3123091020158827,280.0,925.0,577.0
9,12063,3824,0.3170024040454282,0.013761087623310951,0.3032413164221172,981.0,2483.0,2031.0
