bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1473,0.10382744766335378,0.01600056389652499,0.08782688376682879,1.0,2.0,1.0
1,13068,1481,0.11333027242118152,0.02089072543617998,0.09243954698500154,3.0,6.0,4.0
2,11670,1414,0.12116538131962297,0.019365895458440446,0.10179948586118252,7.0,12.0,9.0
3,12133,1603,0.13211901425863348,0.023489656309239264,0.10862935794939421,13.0,23.0,17.0
4,12825,1838,0.14331384015594542,0.025964912280701753,0.11734892787524366,24.0,43.0,32.0
5,12177,1990,0.1634228463496756,0.02907119980290712,0.1343516465467685,44.0,74.0,59.0
6,12848,1807,0.1406444582814446,0.02226027397260274,0.11838418430884184,75.0,135.0,104.0
7,12591,2250,0.17869907076483202,0.034230799777618934,0.1444682709872131,136.0,277.0,180.0
8,13096,3187,0.24335675015271838,0.022907758094074526,0.22044899205864385,280.0,925.0,577.0
9,12063,3158,0.26179225731575895,0.042112244052060016,0.2196800132636989,981.0,2483.0,2031.0
