bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,6666,0.5691598360655737,0.02219945355191257,0.5469603825136612,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,6304,0.5554185022026432,0.022026431718061675,0.5333920704845815,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,6874,0.5714523235514174,0.02493972898827833,0.546512594563139,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,7126,0.55877048537599,0.026974045322669175,0.5317964400533208,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,6841,0.5329957148422283,0.023295675886248538,0.5097000389559797,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,6836,0.520600106617927,0.022618231665524333,0.4979818749524027,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,6959,0.5407568575646904,0.02136918175460409,0.5193876758100863,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,7175,0.5465417428397319,0.02734613040828763,0.5191956124314442,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,7033,0.5347882290320127,0.029199300433427115,0.5055889285985856,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,7004,0.5112408759124087,0.03343065693430657,0.47781021897810216,2017-04-16 11:45:52,2017-04-30 16:58:21
