bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,4625,0.3260026785084937,0.024529498836963416,0.30147317967153026,1.0,2.0,1.0
1,13068,4457,0.341062136516682,0.028925619834710745,0.31213651668197123,3.0,6.0,4.0
2,11670,3905,0.3346186803770351,0.028706083976006855,0.3059125964010283,7.0,12.0,9.0
3,12133,3919,0.32300337921371464,0.035687793620703866,0.2873155855930108,13.0,23.0,17.0
4,12825,4506,0.35134502923976607,0.03009746588693957,0.3212475633528265,24.0,43.0,32.0
5,12177,4020,0.33013057403301305,0.044592264104459226,0.28553830992855384,44.0,74.0,59.0
6,12848,3343,0.2601961394769614,0.03977272727272727,0.22042341220423411,75.0,135.0,104.0
7,12591,3986,0.31657533158605355,0.05329203399253435,0.2632832975935192,136.0,277.0,180.0
8,13096,4618,0.3526267562614539,0.07529016493585827,0.2773365913255956,280.0,925.0,577.0
9,12063,4358,0.3612699991710188,0.09931194561883445,0.2619580535521844,981.0,2483.0,2031.0
