bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1437,0.10128991330090928,0.036512299992951296,0.06477761330795799,1.0,2.0,1.0
1,13068,2121,0.1623048668503214,0.04346495255586165,0.11883991429445975,3.0,6.0,4.0
2,11670,2412,0.20668380462724936,0.03950299914310197,0.16718080548414738,7.0,12.0,9.0
3,12133,3024,0.24923761641803346,0.045495755377895,0.20374186104013847,13.0,23.0,17.0
4,12825,3894,0.303625730994152,0.04327485380116959,0.26035087719298244,24.0,43.0,32.0
5,12177,4024,0.3304590621663792,0.059374230105937426,0.2710848320604418,44.0,74.0,59.0
6,12848,3717,0.2893057285180573,0.043041718555417184,0.2462640099626401,75.0,135.0,104.0
7,12591,4946,0.3928202684457152,0.05551584465094115,0.33730442379477404,136.0,277.0,180.0
8,13096,6377,0.4869425778863775,0.06666157605375687,0.4202810018326206,280.0,925.0,577.0
9,12063,6585,0.5458841084307386,0.05836027522175247,0.4875238332089862,981.0,2483.0,2031.0
