epoch,lr,train_loss,val_loss,val_pr_auc,val_pr_auc_positive,val_roc_auc,val_f1_macro,val_f1_negative_class,val_balanced_accuracy,elapsed_s
1,0.005,0.4469136595726013,1.1405227184295654,0.10199191630670068,0.9196400790015553,0.5359905885829566,0.08978145728679329,0.17956291457358659,0.5,0.6937383290005528
2,0.005,0.8059165477752686,0.5532519221305847,0.09527033363814252,0.9027682048187098,0.49923924532449065,0.10398097277815849,0.17912557001121812,0.49940280494166683,0.20837119200041343
3,0.005,0.4981037378311157,0.2338235229253769,0.08674402996849828,0.888581162801519,0.44463795690128394,0.40890879920062717,0.12723789988084644,0.4516250789605919,0.1981245980005042
4,0.005,0.26625511050224304,0.2791809141635895,0.09774945946497468,0.9032313536446619,0.4939966300541774,0.4623323308013848,0.13148604269293923,0.48355648524525485,0.19169542399868078
5,0.005,0.2726070284843445,0.21785390377044678,0.11697011038168308,0.9130918853505046,0.5558568941140083,0.34767633464544384,0.1803875763206796,0.5194086905777858,0.19072686500112468
6,0.005,0.23643390834331512,0.14457014203071594,0.11888205533908346,0.9183202978764302,0.5768626932575721,0.16436325422795384,0.18128632343040219,0.5088480385626762,0.18803279399980966
7,0.005,0.1869550347328186,0.17062333226203918,0.10268550194677074,0.9098062548625466,0.5325131982374343,0.14252425991872153,0.17890009013171349,0.5008568385447555,0.19271285200011334
8,0.005,0.17694585025310516,0.16411319375038147,0.09777678348220643,0.9002830925040006,0.5023028254564004,0.20271776958136067,0.1732892827571507,0.4897610662987364,0.19560941199961235
9,0.005,0.16459469497203827,0.14145240187644958,0.09957950138420124,0.9042365872054754,0.5049035176735139,0.2568952093623432,0.17649818951245208,0.502615351057179,0.19173000200134993
10,0.005,0.1500929296016693,0.13715413212776184,0.11700784539266317,0.9098941190240355,0.539822093299904,0.31022760482420364,0.1806338712813533,0.5167150563225036,0.19482751899886352
11,0.005,0.14707423746585846,0.13591456413269043,0.10981987939114095,0.9082404543960911,0.5282894996095109,0.2578097035267319,0.18115061545776323,0.5140598304438115,0.19034225900031743
12,0.005,0.1417364776134491,0.1345813125371933,0.10315938210073151,0.9066042576252029,0.519859962972711,0.16117758258557235,0.1817481234876158,0.509986386504137,0.19296250299885287
13,0.005,0.137642040848732,0.13415735960006714,0.11201532298390884,0.9097639661724833,0.5405248944787356,0.16091185820177853,0.1811046690927034,0.5081535098440022,0.1843838839995442
14,0.005,0.13490934669971466,0.13426445424556732,0.1130337519613561,0.9129010922856675,0.5582463320214205,0.20039904847759576,0.1807335216648724,0.5093479886555204,0.18723091299943917
15,0.005,0.1339665800333023,0.13421405851840973,0.10683731340362468,0.9094536727396347,0.5330226881101576,0.26530798065635863,0.18059472387819941,0.5132217804836086,0.18695318999925803
16,0.005,0.13289006054401398,0.13415786623954773,0.11351493196834275,0.9160964467418248,0.5591772518018497,0.32819835475489195,0.190423217886195,0.5394014546344144,0.1876412210003764
17,0.005,0.13261958956718445,0.1336599886417389,0.12843262837789982,0.9227768981848117,0.5953358014401855,0.29236863003995844,0.19267918355343572,0.5436144096163662,0.18831149200013897
18,0.005,0.13228736817836761,0.13341575860977173,0.1319210201823671,0.9246915325789368,0.6029885485642026,0.2751181707726271,0.19153607253775032,0.5404402771360324,0.18736676600019564
19,0.005,0.13199608027935028,0.1329997330904007,0.1361502727723201,0.9268031788506272,0.6084787325510435,0.2786468011866891,0.19270931368594657,0.5434080731382152,0.19053846899987548
20,0.005,0.13158877193927765,0.1328214406967163,0.14563060207391382,0.9273103242740068,0.6145110857307968,0.3145299353325185,0.19588672255428036,0.5514887410204622,0.1873741150011483
21,0.005,0.13136199116706848,0.13273172080516815,0.15529034866494396,0.9296060348525237,0.6248201774104716,0.3305434427073735,0.2015159665509316,0.564343514126449,0.19428865700137976
22,0.005,0.13117840886116028,0.13249807059764862,0.1604607881002846,0.9328301133364418,0.6355752850004506,0.34813201063129506,0.20667332183803733,0.5754090060201501,0.18410506000145688
23,0.005,0.13091415166854858,0.13201358914375305,0.15646171549600849,0.9359208279330538,0.6431254412783607,0.3570421560825964,0.21041003978684886,0.5832278701880013,0.18649856099909812
24,0.005,0.13030442595481873,0.13144652545452118,0.1457175898002755,0.9363774500811185,0.6374834937390714,0.39181469861108864,0.21492351199091497,0.5899087047342555,0.1966266250001354
25,0.005,0.12996265292167664,0.13130013644695282,0.14221531467498952,0.9360745548097154,0.6323133260364091,0.40442500067674614,0.21383122010124936,0.5863727873553848,0.19019606899928476
26,0.005,0.1298096626996994,0.13123369216918945,0.14285542754625208,0.9359199981803753,0.6311519184851766,0.4036983538742792,0.21223644884810847,0.58327867165435,0.18950670699996408
27,0.005,0.12954695522785187,0.1311168074607849,0.14972685458152932,0.9375061364408602,0.6388155288004003,0.39604280462733243,0.21402497598463016,0.5876212613490646,0.18636375999994925
28,0.005,0.12984232604503632,0.13078798353672028,0.15766934234032237,0.9384381842369304,0.6457882500410298,0.34058235861313324,0.20861136336715758,0.5802138561048196,0.19019157100046868
29,0.005,0.12939077615737915,0.13036203384399414,0.16049464466360355,0.9385058831016709,0.6474159611352873,0.36902105989201395,0.21338363988890635,0.588839825545598,0.19010639200132573
30,0.005,0.1291753053665161,0.13153937458992004,0.16729295200170358,0.9352951760322215,0.6493598104803181,0.5041841387725385,0.24204248475507606,0.6140432926050616,0.1895905599994876
31,0.005,0.12949199974536896,0.12974035739898682,0.16337240764711697,0.9392885313214869,0.6503553523482256,0.4548488538283422,0.2274242054783386,0.6041260870336751,0.19809641800020472
32,0.005,0.1287088692188263,0.12936358153820038,0.16052898719314124,0.938883199370657,0.6495478288422616,0.4005731401595315,0.217677335787572,0.5945814731098534,0.19435902800069016
33,0.005,0.12903013825416565,0.1292867511510849,0.15727530598718287,0.9385397097820061,0.6482770388031612,0.3832593485007111,0.2142662940044154,0.5894028197989309,0.1951227800000197
34,0.005,0.12787453830242157,0.12950150668621063,0.1565746555588633,0.9380697446005237,0.6459609301533307,0.4013195071249779,0.21547973437142204,0.5900162961470313,0.19148900300024252
35,0.005,0.1279054433107376,0.12992043793201447,0.15569897764394813,0.9375030859870257,0.6408727052754861,0.43504934282348445,0.2159980398983842,0.5869505354539409,0.19125373200040485
36,0.005,0.1282704770565033,0.12983421981334686,0.1552391603498677,0.9377721225582629,0.6405543812049442,0.44785484735393577,0.21523684784981445,0.5839448215261471,0.19249416099955852
37,0.005,0.12805160880088806,0.12907567620277405,0.15477098034479855,0.9390700948555795,0.6474917391420406,0.4396352452424589,0.21942432007075685,0.5925227849659875,0.1915374049985985
38,0.005,0.1278800219297409,0.12837384641170502,0.15845767723321855,0.940268784509177,0.6551741899265521,0.41519381574361547,0.220243030058981,0.5977706753012664,0.1906683930010331
39,0.005,0.1282128244638443,0.12849198281764984,0.17961938627667798,0.9408176003775491,0.662290463960239,0.4383584568290871,0.22206243018015126,0.5975738495054739,0.19196669299890345
40,0.005,0.12821000814437866,0.12851427495479584,0.182547458911901,0.9407706447803206,0.6656821021597554,0.3844185464091264,0.21550983101748583,0.5919219555221624,0.19137559000046167
41,0.005,0.1272895187139511,0.12867316603660583,0.18473860632594724,0.9403554146751774,0.6653192080497113,0.37178046775824714,0.21347069316754452,0.5887811607372425,0.18974073999925167
42,0.005,0.12781597673892975,0.1286391168832779,0.18813969433170663,0.9403562032023121,0.6655430170631107,0.5256089610973521,0.25336297943301833,0.6219203328831517,0.19098402599956898
43,0.005,0.1273542195558548,0.1284361630678177,0.1912187143226787,0.9405670704286524,0.6653820527344265,0.5340397632235129,0.2571367413259647,0.6230118590577047,0.19101665500056697
44,0.005,0.12750530242919922,0.1279575526714325,0.18866916688869872,0.9409068384372277,0.6646586084423214,0.5174536223039841,0.2495073410620129,0.6200337755044212,0.1951508299989655
45,0.005,0.12713123857975006,0.12773436307907104,0.17415536635154813,0.9407431737666948,0.6606050556378283,0.48577600553843586,0.2387125207057429,0.6152522619818277,0.18782855900099094
46,0.005,0.1275755912065506,0.12859390676021576,0.1789560717124104,0.9405361246527387,0.6610113923460952,0.553639725335763,0.26391576294829683,0.6204737654233854,0.18729956300012418
47,0.005,0.12639376521110535,0.12963931262493134,0.17612412748649312,0.9392639331537729,0.6508343581859868,0.580728646153833,0.26187572111422447,0.5982225461235123,0.1864950189992669
48,0.005,0.12664684653282166,0.12896910309791565,0.18385517330860549,0.9405763725404551,0.6585091685926251,0.5811873400185719,0.2696504531163307,0.6068441628556703,0.18738315500013414
49,0.005,0.12669363617897034,0.1268422156572342,0.18373012636601363,0.942539051943235,0.6709008038255967,0.5007016573607851,0.24679101000851447,0.6231449188641547,0.18940997200115817
50,0.005,0.12686674296855927,0.1265861988067627,0.18324008461414643,0.9427865500486898,0.6723325038546379,0.47851772622748157,0.23993596274195897,0.6197928890510229,0.1967961499994999
51,0.005,0.12688766419887543,0.12684126198291779,0.19648038654839856,0.9428732644236506,0.6760972728822812,0.5612554608752899,0.27471151876550515,0.630251393694285,0.19667735599978187
52,0.005,0.12592187523841858,0.12765094637870789,0.19816932847854815,0.9423664432197163,0.6733893009113774,0.5886299037050482,0.2874491540411484,0.6226345458992104,0.19339702800061787
53,0.005,0.12631139159202576,0.12708356976509094,0.20086114354324205,0.9433420221790709,0.6797720485373651,0.5764312441986817,0.28481638239095725,0.6314011818693483,0.2008956500012573
54,0.005,0.1256432831287384,0.1262829750776291,0.2012406528259988,0.9439913057301875,0.6833548525390629,0.528652446925724,0.26229508196721313,0.6342293423760033,0.2026593460013828
55,0.005,0.12515594065189362,0.12582612037658691,0.20295503451281596,0.9443669524274422,0.6849943656577814,0.5077830973186827,0.25313266808441026,0.6305235652408925,0.275912660999893
56,0.005,0.12541258335113525,0.12549437582492828,0.20944214612075254,0.9448371292235551,0.6892582276284156,0.5461024880027087,0.2729633815103392,0.639471962554332,0.20844441099870892
57,0.005,0.12515050172805786,0.12591956555843353,0.21084232627966767,0.9444585360882058,0.6872076464744699,0.5753632291038515,0.2895709076859923,0.639574080828659,0.1947939059991768
58,0.005,0.12661512196063995,0.12501753866672516,0.21154265213999746,0.9459479031837803,0.6926138473043271,0.5287414904165597,0.26597662175426073,0.6401835476786528,0.1908359120006935
