bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,2717,0.23198428961748635,0.027834699453551912,0.2041495901639344,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,2808,0.24740088105726873,0.02828193832599119,0.21911894273127752,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,2777,0.23085875800149638,0.02818189375675451,0.20267686424474188,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,2960,0.2321022504508743,0.02611150317572336,0.20599074727515093,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,3268,0.25461628359953253,0.02462017919750682,0.2299961044020257,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,3537,0.26936257710760797,0.025055212855075774,0.2443073642525322,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,3344,0.2598492501359857,0.024322014142513015,0.2355272359934727,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,3068,0.2336989640463132,0.025594149908592323,0.2081048141377209,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,2931,0.2228727853395179,0.028971180898790968,0.19390160444072693,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,3251,0.2372992700729927,0.02708029197080292,0.21021897810218979,2017-04-16 11:45:52,2017-04-30 16:58:21
