bin,n,n_errors,error_rate,fp_rate,fn_rate,time_min,time_max
0,11712,8365,0.7142247267759563,0.015454234972677595,0.6987704918032787,2016-12-09 12:49:59,2016-12-23 18:02:45
1,11350,8069,0.7109251101321586,0.016387665198237887,0.6945374449339207,2016-12-23 18:04:49,2017-01-06 22:58:19
2,12029,8747,0.7271593648682351,0.015545764402693492,0.7116136004655416,2017-01-06 23:18:19,2017-01-21 04:22:10
3,12753,9258,0.7259468360385791,0.014976868187877362,0.7109699678507018,2017-01-21 04:29:00,2017-02-04 09:39:50
4,12835,9429,0.7346318659914297,0.016361511492014025,0.7182703544994157,2017-02-04 09:42:39,2017-02-18 14:52:35
5,13131,9522,0.7251542152159013,0.014088797502094281,0.711065417713807,2017-02-18 14:55:51,2017-03-04 20:05:26
6,12869,9626,0.7479990675266144,0.012821509052762452,0.7351775584738519,2017-03-04 20:11:23,2017-03-19 01:16:28
7,13128,9434,0.7186166971358927,0.01675807434491164,0.7018586227909811,2017-03-19 01:20:31,2017-04-02 06:31:52
8,13151,9631,0.7323397460269181,0.017032925252832485,0.7153068207740856,2017-04-02 06:35:23,2017-04-16 11:44:45
9,13700,10129,0.7393430656934307,0.016058394160583942,0.7232846715328467,2017-04-16 11:45:52,2017-04-30 16:58:21
