bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1125,0.07929794882639035,0.01994783957143864,0.05935010925495172,1.0,2.0,1.0
1,13068,1267,0.09695439240893787,0.02662993572084481,0.07032445668809305,3.0,6.0,4.0
2,11670,1151,0.09862896315338475,0.024592973436161097,0.07403598971722365,7.0,12.0,9.0
3,12133,1400,0.1153877853787192,0.02546773263001731,0.08992005274870189,13.0,23.0,17.0
4,12825,1674,0.13052631578947368,0.022222222222222223,0.10830409356725146,24.0,43.0,32.0
5,12177,1962,0.16112342941611235,0.027182393036051574,0.13394103638006077,44.0,74.0,59.0
6,12848,1774,0.13807596513075965,0.021248443337484435,0.11682752179327521,75.0,135.0,104.0
7,12591,2250,0.17869907076483202,0.027082836947025655,0.15161623381780637,136.0,277.0,180.0
8,13096,3466,0.2646609651802077,0.024587660354306658,0.24007330482590103,280.0,925.0,577.0
9,12063,3395,0.28143911133217275,0.017574401061095913,0.26386471027107683,981.0,2483.0,2031.0
