bin,n,n_errors,error_rate,fp_rate,fn_rate,degree_min,degree_max,degree_median
0,14187,1024,0.0721787551984211,0.023049270458870796,0.04912948473955029,1.0,2.0,1.0
1,13068,1088,0.0832568105295378,0.03007346189164371,0.05318334863789409,3.0,6.0,4.0
2,11670,1041,0.08920308483290489,0.0286203941730934,0.060582690659811485,7.0,12.0,9.0
3,12133,1153,0.09503008324404516,0.035028434847111184,0.06000164839693398,13.0,23.0,17.0
4,12825,1415,0.11033138401559454,0.034619883040935676,0.07571150097465887,24.0,43.0,32.0
5,12177,1639,0.13459801264679314,0.044510142071117684,0.09008787057567545,44.0,74.0,59.0
6,12848,1447,0.11262453300124534,0.032534246575342464,0.08009028642590287,75.0,135.0,104.0
7,12591,1871,0.14859820506711144,0.04558811849733937,0.10301008656977206,136.0,277.0,180.0
8,13096,3072,0.23457544288332316,0.03749236408063531,0.19708307880268786,280.0,925.0,577.0
9,12063,3193,0.26469369145320404,0.0605156262952831,0.20417806515792092,981.0,2483.0,2031.0
