,baseline_logreg,baseline_mlp,gat,gat_v1,gcn,sage,signed_gcn
baseline_logreg,1.0,0.7123513714096228,0.6272797612468222,0.647515356313853,0.6091837862590598,0.6291588371835968,0.6283851000331602
baseline_mlp,0.7123513714096228,1.0,0.6820177170016896,0.6746198424102702,0.6493786416965371,0.6512419270792212,0.6579687031217926
gat,0.6272797612468222,0.6820177170016896,1.0,0.7294367509355904,0.6621610952328317,0.6582766189265581,0.6688878712754031
gat_v1,0.647515356313853,0.6746198424102702,0.7294367509355904,1.0,0.76344960444662,0.7842457641838652,0.7858564007011006
gcn,0.6091837862590598,0.6493786416965371,0.6621610952328317,0.76344960444662,1.0,0.898924663266434,0.9072936569344219
sage,0.6291588371835968,0.6512419270792212,0.6582766189265581,0.7842457641838652,0.898924663266434,1.0,0.9344218288619748
signed_gcn,0.6283851000331602,0.6579687031217926,0.6688878712754031,0.7858564007011006,0.9072936569344219,0.9344218288619748,1.0
